Name,Intelligence,Strength,Speed,Durability,Power,Combat,Alignment,Gender
Supergirl,100,100,100,100,100,75,good,Female
Superman,100,100,100,100,100,85,good,Male
Surtur,95,100,60,100,100,80,bad,Male
Swamp Thing,95,95,25,100,100,55,bad,Male
Swarm,90,20,50,90,40,35,bad,Male
Sylar,90,10,15,25,85,85,bad,Male
Synch,90,70,25,30,75,60,good,Male
T-1000,90,35,35,100,100,75,bad,Male
T-800,90,35,20,60,75,65,bad,Male
T-850,90,80,25,90,85,75,bad,Male
Taskmaster,90,15,50,20,65,100,bad,Male
Tempest,75,10,45,30,70,60,good,Female
Thanos,100,100,35,100,100,80,bad,Male
Thanos (Infinity Gauntlet),100,100,35,100,100,80,bad,Male
The Comedian,85,15,20,10,15,80,neutral,Male
The Presence,100,100,100,100,100,100,neutral,Male
Thing,90,85,25,100,40,80,good,Male
Thor,85,100,85,100,100,100,good,Male
Thor Girl,90,85,70,85,100,70,good,Female
Thunderbird,80,35,30,35,15,70,good,Male
Thunderstrike,85,80,70,85,45,75,good,Male
Thundra,75,85,35,65,30,55,good,Female
Tiger Shark,75,75,50,70,55,30,bad,Male
Tigra,85,35,55,40,35,90,good,Female
Tinkerer,100,10,25,15,10,15,bad,Male
Toad,80,35,60,60,70,30,neutral,Male
Toxin,80,75,70,85,85,70,good,Male
Toxin,90,80,45,85,100,70,good,Male
Tracy Strauss,80,55,65,95,90,60,good,Female
Trigon,95,100,85,100,100,80,bad,Male
Triplicate Girl,85,10,25,45,45,45,good,Female
Triton,80,65,50,65,35,55,good,Male
Two-Face,95,10,15,15,10,30,bad,Male
T-X,90,65,30,85,100,80,bad,Female
Ultragirl,80,80,35,70,35,80,good,Female
Ultron,95,85,45,100,100,65,bad,Male
Utgard-Loki,80,80,25,85,85,65,bad,Male
Valkyrie,75,85,75,85,75,95,good,Female
Vanisher,85,10,75,60,65,45,bad,Male
Vegeta,95,100,95,95,100,100,bad,Male
Venom,90,60,65,85,90,85,bad,Male
Venom II,80,60,50,70,55,60,bad,Male
Venom III,85,75,35,90,75,60,bad,Male
Venompool,85,60,65,100,100,100,-,Male
Vibe,80,10,20,30,100,30,good,Male
Vindicator,85,65,55,65,60,70,good,Female
Violator,55,65,25,80,85,30,bad,Male
Violet Parr,80,10,15,50,80,15,good,Female
Vision,100,75,55,95,100,70,good,Male
Vixen,80,40,50,50,65,25,good,Female
Vulcan,70,70,75,90,100,75,good,Male
Vulture,90,25,45,25,30,30,bad,Male
Walrus,80,30,10,50,15,20,bad,Male
War Machine,85,80,65,100,100,85,good,Male
Warlock,95,40,80,95,75,95,good,Male
Warp,75,10,25,30,85,50,bad,Male
Warpath,75,75,50,70,30,85,good,Male
Wasp,85,20,60,55,30,45,good,Female
Watcher,100,80,70,90,100,60,good,Male
Weapon XI,80,65,65,100,95,100,bad,Male
White Canary,85,10,35,15,50,90,bad,Female
White Queen,80,45,45,70,65,45,good,Female
Wildfire,80,35,25,100,80,45,good,Male
Winter Soldier,80,35,35,65,60,85,good,Male
Wolfsbane,75,20,35,45,30,45,good,Female
Wolverine,85,35,50,100,90,100,good,Male
Wonder Girl,90,90,25,80,40,60,good,Female
Wonder Man,90,100,55,90,65,65,good,Male
Wonder Woman,95,100,80,100,100,100,good,Female
Wyatt Wingfoot,60,10,15,5,5,60,good,Male
X-23,90,25,45,100,55,95,good,Female
X-Man,95,55,55,95,100,85,good,Male
Yellowjacket,95,10,15,30,15,15,good,Male
Yellowjacket II,80,10,35,30,35,30,good,Female
Ymir,80,100,30,100,100,30,good,Male
Yoda,95,55,35,25,100,90,good,Male
Zatanna,95,10,25,30,100,60,good,Female
Zoom,80,10,100,30,100,30,bad,Male
